Midi_tuning,Note_name,Frequency,Octave,y_value,C_Maj_Scale
127,G9,12543.85,9,0.000000001,TRUE
126,F#9/Gb9,11839.82,9,0,FALSE
125,F9,11175.3,9,0,TRUE
124,E9,10548.08,9,0,TRUE
123,D#9/Eb9,9956.06,9,0,FALSE
122,D9,9397.27,9,0,TRUE
121,C#9/Db9,8869.84,9,0,FALSE
120,C9,8372.02,9,0,TRUE
119,B8,7902.13,8,0,TRUE
118,A#8/Bb8,7458.62,8,0,FALSE
117,A8,7040,8,0,TRUE
116,G#8/Ab8,6644.88,8,0,FALSE
115,G8,6271.93,8,0,TRUE
114,F#8/Gb8,5919.91,8,0,FALSE
113,F8,5587.65,8,0,TRUE
112,E8,5274.04,8,0,TRUE
111,D#8/Eb8,4978.03,8,0,FALSE
110,D8,4698.64,8,0,TRUE
109,C#8/Db8,4434.92,8,0,FALSE
108,C8,4186.01,8,0,TRUE
107,B7,3951.07,7,0,TRUE
106,A#7/Bb7,3729.31,7,0,FALSE
105,A7,3520,7,0,TRUE
104,G#7/Ab7,3322.44,7,0,FALSE
103,G7,3135.96,7,0,TRUE
102,F#7/Gb7,2959.96,7,0,FALSE
101,F7,2793.83,7,0,TRUE
100,E7,2637.02,7,0,TRUE
99,D#7/Eb7,2489.02,7,0,FALSE
98,D7,2349.32,7,0,TRUE
97,C#7/Db7,2217.46,7,0,FALSE
96,C7,2093,7,0,TRUE
95,B6,1975.53,6,0,TRUE
94,A#6/Bb6,1864.66,6,0,FALSE
93,A6,1760,6,0,TRUE
92,G#6/Ab6,1661.22,6,0,FALSE
91,G6,1567.98,6,0,TRUE
90,F#6/Gb6,1479.98,6,0,FALSE
89,F6,1396.91,6,0,TRUE
88,E6,1318.51,6,0,TRUE
87,D#6/Eb6,1244.51,6,0,FALSE
86,D6,1174.66,6,0,TRUE
85,C#6/Db6,1108.73,6,0,FALSE
84,C6,1046.5,6,0,TRUE
83,B5,987.77,5,0,TRUE
82,A#5/Bb5,932.33,5,0,FALSE
81,A5,880,5,0,TRUE
80,G#5/Ab5,830.61,5,0,FALSE
79,G5,783.99,5,0,TRUE
78,F#5/Gb5,739.99,5,0,FALSE
77,F5,698.46,5,0,TRUE
76,E5,659.26,5,0,TRUE
75,D#5/Eb5,622.25,5,0,FALSE
74,D5,587.33,5,0,TRUE
73,C#5/Db5,554.37,5,0,FALSE
72,C5,523.25,5,0,TRUE
71,B4,493.88,4,0,TRUE
70,A#4/Bb4,466.16,4,0,FALSE
69,A4 concert pitch,440,4,0,TRUE
68,G#4/Ab4,415.3,4,0,FALSE
67,G4,392,4,0,TRUE
66,F#4/Gb4,369.99,4,0,FALSE
65,F4,349.23,4,0,TRUE
64,E4,329.63,4,0,TRUE
63,D#4/Eb4,311.13,4,0,FALSE
62,D4,293.66,4,0,TRUE
61,C#4/Db4,277.18,4,0,FALSE
60,C4 (middle C),261.63,4,0,TRUE
59,B3,246.94,3,0,TRUE
58,A#3/Bb3,233.08,3,0,FALSE
57,A3,220,3,0,TRUE
56,G#3/Ab3,207.65,3,0,FALSE
55,G3,196,3,0,TRUE
54,F#3/Gb3,185,3,0,FALSE
53,F3,174.61,3,0,TRUE
52,E3,164.81,3,0,TRUE
51,D#3/Eb3,155.56,3,0,FALSE
50,D3,146.83,3,0,TRUE
49,C#3/Db3,138.59,3,0,FALSE
48,C3,130.81,3,0,TRUE
47,B2,123.47,2,0,TRUE
46,A#2/Bb2,116.54,2,0,FALSE
45,A2,110,2,0,TRUE
44,G#2/Ab2,103.83,2,0,FALSE
43,G2,98,2,0,TRUE
42,F#2/Gb2,92.5,2,0,FALSE
41,F2,87.31,2,0,TRUE
40,E2,82.41,2,0,TRUE
39,D#2/Eb2,77.78,2,0,FALSE
38,D2,73.42,2,0,TRUE
37,C#2/Db2,69.3,2,0,FALSE
36,C2,65.41,2,0,TRUE
35,B1,61.74,1,0,TRUE
34,A#1/Bb1,58.27,1,0,FALSE
33,A1,55,1,0,TRUE
32,G#1/Ab1,51.91,1,0,FALSE
31,G1,49,1,0,TRUE
30,F#1/Gb1,46.25,1,0,FALSE
29,F1,43.65,1,0,TRUE
28,E1,41.2,1,0,TRUE
27,D#1/Eb1,38.89,1,0,FALSE
26,D1,36.71,1,0,TRUE
25,C#1/Db1,34.65,1,0,FALSE
24,C1,32.7,1,0,TRUE
23,B0,30.87,0,0,TRUE
22,A#0/Bb0,29.14,0,0,FALSE
21,A0,27.5,0,0,TRUE
20,,25.96,0,0,FALSE
19,,24.5,0,0,TRUE
18,,23.12,0,0,FALSE
17,,21.83,0,0,TRUE
16,,20.6,0,0,TRUE
15,,19.45,0,0,FALSE
14,,18.35,0,0,TRUE
13,,17.32,0,0,FALSE
12,,16.35,0,0,TRUE
11,,15.43,-1,0,TRUE
10,,14.57,-1,0,FALSE
9,,13.75,-1,0,TRUE
8,,12.98,-1,0,FALSE
7,,12.25,-1,0,TRUE
6,,11.56,-1,0,FALSE
5,,10.91,-1,0,TRUE
4,,10.3,-1,0,TRUE
3,,9.72,-1,0,FALSE
2,,9.18,-1,0,TRUE
1,,8.66,-1,0,FALSE
0,,8.18,-1,0,TRUE
